algorithm,dataset_size,run,duration
PuLP,8,1,0.5383003000169992
PuLP,8,2,0.4617953000124544
PuLP,8,3,0.41496880003251135
PuLP,8,4,0.4368121000006795
PuLP,8,5,0.4575633000349626
PuLP,8,6,0.4064374000299722
PuLP,8,7,0.43262599990703166
PuLP,8,8,0.4321384000359103
PuLP,8,9,0.439262600033544
PuLP,8,10,0.47994370001833886
Greedy,8,1,5.259993486106396e-05
Greedy,8,2,3.0199997127056122e-05
Greedy,8,3,2.6900088414549828e-05
Greedy,8,4,2.659996971487999e-05
Greedy,8,5,2.359994687139988e-05
Greedy,8,6,2.4300068616867065e-05
Greedy,8,7,2.3999949917197227e-05
Greedy,8,8,2.5399960577487946e-05
Greedy,8,9,2.420006785541773e-05
Greedy,8,10,2.3699947632849216e-05
BruteForce,8,1,0.0008492999477311969
BruteForce,8,2,0.0008632000535726547
BruteForce,8,3,0.0006826999597251415
BruteForce,8,4,0.0005682000191882253
BruteForce,8,5,0.0005403000395745039
BruteForce,8,6,0.0005324000958353281
BruteForce,8,7,0.0005295999580994248
BruteForce,8,8,0.0005878000520169735
BruteForce,8,9,0.0005476000951603055
BruteForce,8,10,0.0005292999558150768
PuLP,11,1,0.4751326999394223
PuLP,11,2,0.546554800006561
PuLP,11,3,0.4525956000434235
PuLP,11,4,0.43207509990315884
PuLP,11,5,0.43869009998161346
PuLP,11,6,0.44938380003441125
PuLP,11,7,0.4124244999838993
PuLP,11,8,0.3856578000122681
PuLP,11,9,0.33525130001362413
PuLP,11,10,0.31238260003738105
Greedy,11,1,3.290001768618822e-05
Greedy,11,2,2.0099920220673084e-05
Greedy,11,3,1.680001150816679e-05
Greedy,11,4,1.6900012269616127e-05
Greedy,11,5,1.6400008462369442e-05
Greedy,11,6,1.610000617802143e-05
Greedy,11,7,1.6000005416572094e-05
Greedy,11,8,2.7099973522126675e-05
Greedy,11,9,1.6200006939470768e-05
Greedy,11,10,1.5900004655122757e-05
BruteForce,11,1,0.0027888999320566654
BruteForce,11,2,0.004682800034061074
BruteForce,11,3,0.003995900042355061
BruteForce,11,4,0.0027837000088766217
BruteForce,11,5,0.0027706000255420804
BruteForce,11,6,0.0027721000369638205
BruteForce,11,7,0.0027758999494835734
BruteForce,11,8,0.0028209000593051314
BruteForce,11,9,0.002761899959295988
BruteForce,11,10,0.0027588000521063805
PuLP,14,1,0.3706747000105679
PuLP,14,2,0.31957609998062253
PuLP,14,3,0.313984900014475
PuLP,14,4,0.3193006000947207
PuLP,14,5,0.32324669999070466
PuLP,14,6,0.3239524000091478
PuLP,14,7,0.31189659994561225
PuLP,14,8,0.3370230000000447
PuLP,14,9,0.31640340003650635
PuLP,14,10,0.3201944000320509
Greedy,14,1,3.5800039768218994e-05
Greedy,14,2,2.3699947632849216e-05
Greedy,14,3,2.150004729628563e-05
Greedy,14,4,2.0900042727589607e-05
Greedy,14,5,2.089992631226778e-05
Greedy,14,6,2.0200037397444248e-05
Greedy,14,7,2.0000035874545574e-05
Greedy,14,8,2.080004196614027e-05
Greedy,14,9,2.1400046534836292e-05
Greedy,14,10,2.059992402791977e-05
BruteForce,14,1,0.021507399971596897
BruteForce,14,2,0.02132020005956292
BruteForce,14,3,0.020896199974231422
BruteForce,14,4,0.02210860000923276
BruteForce,14,5,0.02448919997550547
BruteForce,14,6,0.02073609991930425
BruteForce,14,7,0.021234200103208423
BruteForce,14,8,0.020715200109407306
BruteForce,14,9,0.020672400016337633
BruteForce,14,10,0.02121680008713156
PuLP,17,1,0.3361204999964684
PuLP,17,2,0.34822729998268187
PuLP,17,3,0.32097939995583147
PuLP,17,4,0.34285589994397014
PuLP,17,5,0.31384620000608265
PuLP,17,6,0.3174361999845132
PuLP,17,7,0.31832620000932366
PuLP,17,8,0.31488089996855706
PuLP,17,9,0.31167740002274513
PuLP,17,10,0.31278369994834065
Greedy,17,1,4.0899962186813354e-05
Greedy,17,2,2.6499968953430653e-05
Greedy,17,3,2.510007470846176e-05
Greedy,17,4,2.4699955247342587e-05
Greedy,17,5,2.3799948394298553e-05
Greedy,17,6,2.3900065571069717e-05
Greedy,17,7,4.39999857917428e-05
Greedy,17,8,4.3199979700148106e-05
Greedy,17,9,3.750005271285772e-05
Greedy,17,10,3.990007098764181e-05
BruteForce,17,1,0.17578549997415394
BruteForce,17,2,0.17814069997984916
BruteForce,17,3,0.18047020002268255
BruteForce,17,4,0.18261430005077273
BruteForce,17,5,0.1826577999163419
BruteForce,17,6,0.1785904000280425
BruteForce,17,7,0.17687470000237226
BruteForce,17,8,0.17876529996283352
BruteForce,17,9,0.1775445999810472
BruteForce,17,10,0.1765767999459058
PuLP,20,1,0.3687033000169322
PuLP,20,2,0.34298720001243055
PuLP,20,3,0.39122700004372746
PuLP,20,4,0.3862226000055671
PuLP,20,5,0.3805549999233335
PuLP,20,6,0.38646910001989454
PuLP,20,7,0.36360369995236397
PuLP,20,8,0.3243326999945566
PuLP,20,9,0.33506860001944005
PuLP,20,10,0.3714825001079589
Greedy,20,1,4.5199994929134846e-05
Greedy,20,2,3.0499999411404133e-05
Greedy,20,3,2.8399983420968056e-05
Greedy,20,4,2.7300091460347176e-05
Greedy,20,5,2.6999972760677338e-05
Greedy,20,6,2.6799971237778664e-05
Greedy,20,7,2.7099973522126675e-05
Greedy,20,8,2.719997428357601e-05
Greedy,20,9,2.780009526759386e-05
Greedy,20,10,2.729997504502535e-05
BruteForce,20,1,1.5543635999783874
BruteForce,20,2,1.5427934000035748
BruteForce,20,3,1.5517166999634355
BruteForce,20,4,1.5687991000013426
BruteForce,20,5,1.533404599991627
BruteForce,20,6,1.537382600014098
BruteForce,20,7,1.5476960999658331
BruteForce,20,8,1.5292799000162631
BruteForce,20,9,1.6887620999477804
BruteForce,20,10,1.7485694999340922
