budget,algorithm,value,cost,count,duration
1500,PuLP,3.0900000000000003,1250,6,0.9335605999222025
1500,Greedy,2.935,1000,6,0.00010119995567947626
1500,BruteForce,3.0900000000000003,1250,6,124.34377539996058
2500,PuLP,3.47,2350,7,0.565950799966231
2500,Greedy,3.255,1850,7,9.760004468262196e-05
2500,BruteForce,3.47,2450,7,122.35587850003503
3500,PuLP,3.6100000000000003,3450,7,0.4163850999902934
3500,Greedy,3.255,1850,7,6.059999577701092e-05
3500,BruteForce,3.6100000000000003,3450,7,125.21979520004243
4500,PuLP,3.725,4500,7,0.4357841000892222
4500,Greedy,3.255,1850,7,0.00010130007285624743
4500,BruteForce,3.725,4500,7,130.49954079999588
5500,PuLP,3.7700000000000005,4800,7,0.5940248999977484
5500,Greedy,3.255,1850,7,9.999994654208422e-05
5500,BruteForce,3.7700000000000005,5300,7,125.03959100006614
